Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
DAVAO DEL SUR,DAVAO CITY,NO. 5,DATU BAGO ST.,QUIRINO AVE-RASAY ST.,CR,31400.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,FR. SELGA ST.,RASAY ST.-FR . F. TORRES ST.,CR,31700.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,MARFORI ST.,FROM DATU BAGO ST. TO C. RASAY ST.***,CR,33400.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,PICHON EXTENSION,QUIRINO EXTENSION - RASAY ST.,CR,34500.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,C. RASAY ST,DATU BAGO ST-PICHON EXT.,CR,30500.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,QUIRINO AVENUE,GOV GENEROSO BR-PICHON ST,CR,39500.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,FR. SELGA ST.,TORRES ST - LOWER MADAPO (P 17B),RR,17000.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,FR. SELGA ST.,TORRES ST - LOWER MADAPO (P 17B),CR,28200.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,DATU BAGO ST.,RASAY ST - CARNATION ST,RR,22200.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,DATU BAGO ST.,RASAY ST - CARNATION ST,CR,30500.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,CATTLEYA ST,DATU BAGO ST - LOWER MADAPO(P 17A),RR,21900.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,WALING-WALING ST,DATU BAGO ST - BOGAINVILLA ST,RR,21900.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,ALL OTHER STREETS,WITHIN THE IMMEDIATE VICINITY,CR,17000.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,ALL OTHER STREETS,OF THE PUBLIC MARKET,X,14400.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,ALL OTHER STREETS,OF THE PUBLIC MARKET,RR,10500.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,DON ISIDRO MARFORI VILLAGE,,RR,11900.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,EVERLY HILLS ( PORTION ONLY ),,RR,12000.0
DAVAO DEL SUR,DAVAO CITY,NO. 5,EXODUS VILLAGE ( PORTION ONLY ),,RR,11900.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,ELPIDIO QUIRINO AVE.,GEN. MALVAR ST. - PICHON EXT.*,CR,40900.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,GEN. MALVAR ST.,MT. APO -  FR. SELGA**,CR,36900.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,GEN. MALVAR ST.,MT. APO -  FR. SELGA**,X,34500.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,GEN. MALVAR ST.,MT. APO -  FR. SELGA**,RR,28900.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,MARFORI ST,PICHON EXT.-SAN PEDRO EXT.,CR,37200.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,PICHON EXT,QUIRINO AVE. - RASAY ST**,CR**,
DAVAO DEL SUR,DAVAO CITY,NO. 6,SAN PEDRO EXT.,E. QUIRINO AVE.- FR. SELGA ST,CR,35000.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,SAN PEDRO EXT.,(formerly Quirino Ave.-Pichon Ext.),RR,29700.0
DAVAO DEL SUR,DAVAO CITY,NO. 6,FR SELGA ST,SAN PEDRO EXT-MALVAR ST,CR,33500.0
