Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
,AGUINALDO,AWAYAN,STREET/ SUBDIVISION,V I C I N I T Y,CLASSIFICATION,3rd Revision
,AGUINALDO,AWAYAN,Along National Road,Lower Awayan-Hagang-Alaiyan-Bugallo,RR-1,310.0
,AGUINALDO,AWAYAN,Along National Road,Lower Awayan-Hagang-Alaiyan-Bugallo,RR-2,282.0
,AGUINALDO,AWAYAN,Along National Road,Lower Awayan-Hagang-Alaiyan-Bugallo,RR-3,251.0
,AGUINALDO,AWAYAN,Along National Road,Lower Awayan-Hagang-Alaiyan-Bugallo,CR,395.0
,AGUINALDO,AWAYAN,Along National Road,Lower Awayan-Hagang-Alaiyan-Bugallo,X,335.0
,AGUINALDO,AWAYAN,Along Provincial Road,Provincial Roads,RR-1,268.0
,AGUINALDO,AWAYAN,Along Provincial Road,Provincial Roads,RR-2,235.0
,AGUINALDO,AWAYAN,Along Provincial Road,Provincial Roads,RR-3,212.0
,AGUINALDO,AWAYAN,Along Provincial Road,Provincial Roads,CR,344.0
,AGUINALDO,AWAYAN,Along Barangay Road,All Barangay Roads,RR-1,210.0
,AGUINALDO,AWAYAN,Along Barangay Road,All Barangay Roads,RR-2,187.0
,AGUINALDO,AWAYAN,Along Barangay Road,All Barangay Roads,RR-3,154.0
,AGUINALDO,AWAYAN,Along Barangay Road,All Barangay Roads,CR,290.0
,AGUINALDO,AWAYAN,AlL Other Lots,Interior Lots,RR,180.0
,AGUINALDO,AWAYAN,AlL Other Lots,Non-Contiguous Area (NCA),RR,148.0
,AGUINALDO,AWAYAN,AlL Other Lots,Non-Contiguous Area (NCA),CR,236.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Irrigated,A1-1,74.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Irrigated,A1-2,57.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Irrigated,A1-3,47.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Unirrigated,A2-1,37.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Unirrigated,A2-2,29.0
,AGUINALDO,AWAYAN,Agricultural Lots,Riceland Unirrigated,A2-3,22.0
,AGUINALDO,AWAYAN,Agricultural Lots,Coconut Land,A4-1,27.0
,AGUINALDO,AWAYAN,Agricultural Lots,Coconut Land,A4-2,22.0
,AGUINALDO,AWAYAN,Agricultural Lots,Coconut Land,A4-3,17.0
,AGUINALDO,AWAYAN,Agricultural Lots,Citrus Land,A5-1,45.0
,AGUINALDO,AWAYAN,Agricultural Lots,Citrus Land,A5-2,37.0
,AGUINALDO,AWAYAN,Agricultural Lots,Citrus Land,A5-3,28.0
,AGUINALDO,AWAYAN,Agricultural Lots,Fishpond,A6-1,70.0
,AGUINALDO,AWAYAN,Agricultural Lots,Fishpond,A6-2,54.0
,AGUINALDO,AWAYAN,Agricultural Lots,Fishpond,A6-3,38.0
,AGUINALDO,AWAYAN,Agricultural Lots,Cogon Land,A10,13.0
,AGUINALDO,AWAYAN,Agricultural Lots,Banana Land,A14-1,63.0
,AGUINALDO,AWAYAN,Agricultural Lots,Banana Land,A14-2,48.0
,AGUINALDO,AWAYAN,Agricultural Lots,Banana Land,A14-3,36.0
,AGUINALDO,AWAYAN,Agricultural Lots,Pineapple Land,A13-1,76.0
,AGUINALDO,AWAYAN,Agricultural Lots,Pineapple Land,A13-2,61.0
,AGUINALDO,AWAYAN,Agricultural Lots,Pineapple Land,A13-3,45.0
,AGUINALDO,AWAYAN,Agricultural Lots,Pasture Land,A15,15.0
,AGUINALDO,AWAYAN,Agricultural Lots,Corn Land,A16-1,29.0
,AGUINALDO,AWAYAN,Agricultural Lots,Corn Land,A16-2,21.0
,AGUINALDO,AWAYAN,Agricultural Lots,Corn Land,A16-3,15.0
,AGUINALDO,AWAYAN,Agricultural Lots,Cacao,A19,15.0
,AGUINALDO,AWAYAN,Agricultural Lots,Lanzones Land,A20-1,57.0
,AGUINALDO,AWAYAN,Agricultural Lots,Lanzones Land,A20-2,43.0
,AGUINALDO,AWAYAN,Agricultural Lots,Lanzones Land,A20-3,29.0
,AGUINALDO,AWAYAN,Agricultural Lots,Rambutan Land,A22-1,54.0
,AGUINALDO,AWAYAN,Agricultural Lots,Rambutan Land,A22-2,40.0
,AGUINALDO,AWAYAN,Agricultural Lots,Rambutan Land,A22-3,24.0
,AGUINALDO,AWAYAN,Agricultural Lots,Mango Land,A23-1,39.0
