Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,BURGOS STREET,Henson - Rizal St,CR,25875.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,C. DAYRIT SUBD.,Near Apung Mamacalulu Church,RR,7000.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,A.DEL ROSARIO STREET,Along CALVARY TEMPLE,RR,7625.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,HENSON STREET,JESUS ST. - A. DEL ROSARO ST.,CR,33500.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,HENSON STREET,SAN FRANCISCO STREET- M.R.R,CR,25875.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,HENSON STREET,A. DEL ROSARIO ST.-SAN FRANCISCO ST.,CR,30250.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,VALDEZ STREET,Henson St. - Rizal St./CROSSING,CR,13875.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,JESUS STREET,Henson Street - Rizal Street (near Jumbo Jenra),CR,28750.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,JESUS STREET,Burgos St.- A. del Rosario St (along Garcia Hosp.),CR,25500.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,RIZAL STREET,Jesus St. - Burgos Street,CR,29500.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,RIZAL STREET,A. Del Rosario St. - MRR,CR,13875.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,San Francisco St.,After Henson St. - Rizal St.,RR,8750.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,All other Streets:,,RR,4000.0
PAMPANGA,ANGELES,AGAPITO DEL ROSARIO,All other Streets:,None,CR,9500.0
PAMPANGA,ANGELES,AMSIC,ALL LOTS,FRIENDSHIP HIGHWAY-FOOT OF FRIENDSHIP BRIDGE,CR,15250.0
PAMPANGA,ANGELES,AMSIC,JOSEFAVILLE II SUBD.,ALONG  ZEPPELIN EXT.,RR,9500.0
PAMPANGA,ANGELES,AMSIC,PLARIDEL II SUBD.,BEHIND VILLA SOL SUBD.,RR,6875.0
PAMPANGA,ANGELES,AMSIC,VILLA ESPERANZA,BACK OF PLARIDEL I SUBDIVISION,RR,4625.0
PAMPANGA,ANGELES,AMSIC,PINEDA'S COMPOUND,NEAR PLARIDEL I,RR,4625.0
PAMPANGA,ANGELES,AMSIC,ALONG BARANGAY ROAD,,RR,2950.0
PAMPANGA,ANGELES,AMSIC,ALONG BARANGAY ROAD,,A50,875.0
PAMPANGA,ANGELES,AMSIC,ZEPPELIN EXT.,ROAD LEADING TO PULU AMSIC,RR,9500.0
PAMPANGA,ANGELES,AMSIC,ANGELES SPORTS & COUNTRY CLUB SUBD.,NEAR PULU AMSIC,RR,15250.0
PAMPANGA,ANGELES,AMSIC,PULU AMSIC SUBDIVISION,NEAR BARANGAY HALL,RR,15250.0
PAMPANGA,ANGELES,AMSIC,PLANTATION HILLS,BESIDE PULU AMSIC,*RR,10000.0
PAMPANGA,ANGELES,AMSIC,ALL OTHER STREETS,,CR,5500.0
PAMPANGA,ANGELES,AMSIC,ALL OTHER STREETS,None,RR,2625.0
PAMPANGA,ANGELES,ANUNAS,CLARKVIEW SUBD.,BACK OF CLARKTON HOTEL,RR,10500.0
PAMPANGA,ANGELES,ANUNAS,FRIENDSHIP HI-WAY,KOREAN TOWN,CR,36250.0
PAMPANGA,ANGELES,ANUNAS,PERIMETER FENCE,DON JUICO AVE.,CR,30250.0
PAMPANGA,ANGELES,ANUNAS,PERIMETER FENCE,DON MELITON AVENUE,CR,30250.0
PAMPANGA,ANGELES,ANUNAS,RIVERSIDE SUBD.,KOREAN TOWN,CR,15625.0
