Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
PALAWAN,ABORLAN,APOC-APOC,ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,380.0
PALAWAN,ABORLAN,APOC-APOC,INTERIOR LOTS,,RR,230.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,,A1,25.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A14,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A15,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A24,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A26,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A36,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A48,30.0
PALAWAN,ABORLAN,APOC-APOC,STREET NAME/,VICINITY,CLASSIFICATION,2ND REVISION
PALAWAN,ABORLAN,APOC-APOC,ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,380.0
PALAWAN,ABORLAN,APOC-APOC,INTERIOR LOTS,,RR,230.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A1,25.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A14,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A15,15.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A24,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A26,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,None,A36,10.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,SEASHORE,A39,350.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,SEASHORE,A40,1750.0
PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,SEASHORE,A48,30.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,370.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),INTERIOR LOTS,,RR,240.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,,A1,25.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A14,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A15,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A24,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A26,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A36,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A39,275.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A40,450.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A48,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),STREET NAME/,VICINITY,CLASSIFICATION,2ND REVISION
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,280.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),INTERIOR LOTS,,RR,230.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A1,25.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A14,15.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A15,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A24,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A26,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A36,10.0
PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,None,A48,15.0
PALAWAN,ABORLAN,CABIGAAN,ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,280.0
PALAWAN,ABORLAN,CABIGAAN,INTERIOR LOTS,,RR,230.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,,A1,25.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A15,10.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A36,15.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A24,10.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A26,10.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A36,10.0
PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,None,A48,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALONG NATIONAL HIGHWAY (NH),within 200 m. from center line of NH,CR,4500.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALONG NATIONAL HIGHWAY (NH),within 200 m. from center line of NH,RR,2750.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALONG BARANGAY ROAD,within 100 m. from center line of BR,CR,3250.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALONG BARANGAY ROAD,within 100 m. from center line of BR,RR,1150.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALONG BARANGAY ROAD,within 100 m. from center line of BR,X,530.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),INTERIOR LOT,,RR,1500.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,,A1,25.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A2,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A3,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A4,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A12,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A14,15.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A15,10.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A16,10.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A23,20.0
PALAWAN,ABORLAN,POBLACION (FORMERLY CENTRAL),ALL LOTS,None,A24,10.0
