Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,VICINITY,CLASSIFICATION,"2ND REV
ZV/SQ.M."
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,**CR,1016.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,RR,719.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,**X,738.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,A2,239.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,A12,478.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,**A41,231.0
LA UNION,AGOO,AMBITACAY,STREET/SUBDIVISION,ALONG BRGY ROAD,A50,113.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,RR,555.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,A2,187.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,A12,298.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,A36,89.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,**A39,280.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,**A40,463.0
LA UNION,AGOO,AMBITACAY,INTERIOR,,A50,86.0
LA UNION,AGOO,BALUARTE,STREET/SUBDIVISION,VICINITY,CLASSIFICATION,"2ND REV
ZV/SQ.M."
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,**CR,1665.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,RR,1368.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,A2,759.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,A6,761.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,A12,835.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,A41,753.0
LA UNION,AGOO,BALUARTE,ALL LOTS (NATIONAL ROAD),CASES BLVD,A50,455.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,**CR,1328.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,RR,959.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,**X,983.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,A2,302.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,A6,302.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,A12,603.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,**A41,286.0
LA UNION,AGOO,BALUARTE,BARANGAY ROAD,,A50,226.0
LA UNION,AGOO,BALUARTE,INTERIOR,,RR,791.0
LA UNION,AGOO,BALUARTE,INTERIOR,,**X,814.0
LA UNION,AGOO,BALUARTE,INTERIOR,,A2,238.0
LA UNION,AGOO,BALUARTE,INTERIOR,,A6,232.0
