Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
CAMARINES SUR,BOMBON,PAGAO,ALL LOTS,ALONG MUNICIPAL ROAD,CR,1200.0
CAMARINES SUR,BOMBON,PAGAO,ALL LOTS,ALONG MUNICIPAL ROAD,RR,900.0
CAMARINES SUR,BOMBON,PAGAO,ALL OTHER STREETS,None,RR,700.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A1,50.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A2,40.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A3,25.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A4,35.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A6,30.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A7,15.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A8,25.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A10,15.0
CAMARINES SUR,BOMBON,PAGAO,ALL AGRICULTURAL LOTS,,A15,15.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL LOTS,ALONG MUNICIPAL ROAD,CR,2000.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL LOTS,ALONG MUNICIPAL ROAD,RR,1600.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL OTHER STREETS,None,RR,1200.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL AGRICULTURAL LOTS,,A1,55.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL AGRICULTURAL LOTS,,A2,35.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL AGRICULTURAL LOTS,,A3,30.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL AGRICULTURAL LOTS,,A4,35.0
CAMARINES SUR,BOMBON,SAN ANTONIO,ALL AGRICULTURAL LOTS,,A12,45.0
