Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),AIRPORT ROAD,"BRGY STA. ROSA BDRY-BRGY TABUCAN AIRPORT BDRY(Fr. North Diversion Rd.(BS Aquino, Jr. Ave.) to R. Mapa St.)",CR,18000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),PHHC ROAD,BENEDICTO ST-PHHC,CR,8500.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),PHHC ROAD,TAFT ST-PHHC,CR,10200.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),MIRASOL ST,TAFT ST-BRGY TABUCAN AIRPORT BDRY (DE LEON ST. - ABETO ST),RR,4250.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),MIRASOL ST,TAFT ST-BRGY TABUCAN AIRPORT BDRY (DE LEON ST. - ABETO ST),CR*,30000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),TAFT ST,ONATE ST - MIRASOL ST,RR,8200.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),TAFT ST,MIRASOL ST - AIRPORT ST,RR,10700.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),TAFT ST,MIRASOL ST - AIRPORT ST,CR*,30000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),ILOILO BUSINESS PARK (MEGAWORLD)**,,CR*,55000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),ALL OTHER LOTS / STREETS,,RR,4000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),ALL OTHER LOTS / STREETS,None,CR,7200.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),ALL OTHER LOTS / STREETS,AREAS NOT BENEFITED BY ROADS,RR,3000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),AME SUBDIVISION (AMES CIRCLE ROAD),,RR,6000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),CORVILLE SUBD.,,RR,6000.0
,ILOILO CITY,ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO),EXEQUIEL SUMCIO SUBD.,,RR,6000.0
,ILOILO CITY,AGUINALDO,RAILWAY ROAD,DIVINAGRACIA ST-HUERVANA,RR *,4750.0
,ILOILO CITY,AGUINALDO,RAILWAY ROAD,HUERVANA ST-ARROYO ST,RR *,4750.0
,ILOILO CITY,AGUINALDO,RAILWAY ROAD,ARROYO ST-LA PAZ JARO,RR *,4750.0
,ILOILO CITY,AGUINALDO,RAILWAY ROAD,ARROYO ST-LA PAZ JARO,CR **,15000.0
,ILOILO CITY,AGUINALDO,ALL OTHER LOTS / STREETS,,RR,4500.0
,ILOILO CITY,AGUINALDO,ALL OTHER LOTS / STREETS,None,GP,10000.0
,ILOILO CITY,AGUINALDO,ALL OTHER LOTS / STREETS,None,CR **,13500.0
,ILOILO CITY,AIRPORT (TABUCAN AIRPORT),AIRPORT ROAD (OLD AIRPORT ROAD),BRGY BUHANG BDRY-R MAPA ST,CR,12000.0
,ILOILO CITY,AIRPORT (TABUCAN AIRPORT),MIRASOL ST,DE LEON ST-BRGY ABETO MIRASOL BDRY,RR,5000.0
