Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
CEBU,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.,CR,42000.0
CEBU,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.,I,36750.0
CEBU,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,INTERIOR W/CAR ACCESS,RR,15750.0
CEBU,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,F. MENDOZA ST. TO G OUANO ST.,CR,21540.0
CEBU,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,F. MENDOZA ST. TO G OUANO ST.,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,F. MENDOZA ST. TO G OUANO ST.,I,18780.0
CEBU,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,INTERIOR,RR,10800.0
CEBU,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,P. BURGOS ST. TO BRIONES ST.,CR,21200.0
CEBU,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,P. BURGOS ST. TO BRIONES ST.,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,P. BURGOS ST. TO BRIONES ST.,I,18150.0
CEBU,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,INTERIOR,RR,11400.0
CEBU,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE,CR,42530.0
CEBU,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE,RR,26250.0
CEBU,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE,I,36750.0
CEBU,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),INTERIOR,RR,12540.0
CEBU,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),BURGOS-PLARIDEL,CR,26750.0
CEBU,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),BURGOS-PLARIDEL,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),BURGOS-PLARIDEL,I,25200.0
CEBU,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),INTERIOR,RR,11280.0
CEBU,MANDAUE CITY,ALANG-ALANG,R. COLINA ST (formerly LIBERTAD STREET),RIZAL-BURGOS,CR,23100.0
CEBU,MANDAUE CITY,ALANG-ALANG,R. COLINA ST (formerly LIBERTAD STREET),RIZAL-BURGOS,RR,12600.0
CEBU,MANDAUE CITY,ALANG-ALANG,R. COLINA ST (formerly LIBERTAD STREET),RIZAL-BURGOS,I,18900.0
CEBU,MANDAUE CITY,ALANG-ALANG,R. COLINA ST (formerly LIBERTAD STREET),INTERIOR,RR,10500.0
CEBU,MANDAUE CITY,ALANG-ALANG,PLARIDEL STREET,A.C. CORTES AVE. TO BUTUANON RIVER,CR,42530.0
CEBU,MANDAUE CITY,ALANG-ALANG,PLARIDEL STREET,A.C. CORTES AVE. TO BUTUANON RIVER,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,PLARIDEL STREET,A.C. CORTES AVE. TO BUTUANON RIVER,I,36750.0
CEBU,MANDAUE CITY,ALANG-ALANG,PLARIDEL STREET,INTERIOR,RR,10600.0
CEBU,MANDAUE CITY,ALANG-ALANG,M. FERNAN ST. (U.N. AVENUE),PACIFIC MALL TO MARCELO FERNAN BRIDGE,CR,63000.0
CEBU,MANDAUE CITY,ALANG-ALANG,M. FERNAN ST. (U.N. AVENUE),PACIFIC MALL TO MARCELO FERNAN BRIDGE,I,47250.0
CEBU,MANDAUE CITY,ALANG-ALANG,M. FERNAN ST. (U.N. AVENUE),INTERIOR,RR,14400.0
CEBU,MANDAUE CITY,ALANG-ALANG,SANCHEZ STREET,S.B. CABAHUG ST.-PLARIDEL,CR,52140.0
CEBU,MANDAUE CITY,ALANG-ALANG,SANCHEZ STREET,S.B. CABAHUG ST.-PLARIDEL,RR,*
CEBU,MANDAUE CITY,ALANG-ALANG,SANCHEZ STREET,S.B. CABAHUG ST.-PLARIDEL,I,21700.0
CEBU,MANDAUE CITY,ALANG-ALANG,SANCHEZ STREET,INTERIOR,RR,10540.0
CEBU,MANDAUE CITY,ALANG-ALANG,SITIO LIONG,,CR,21540.0
