Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
,CALBAYOG CITY,CALBAYOG PROPER,STREET/SUBDIVISION,V I C I N I T Y,FICATION,ZV/SQ.M.
,CALBAYOG CITY,CALBAYOG PROPER,MAGSAYSAY BLVD,CALBAYOG RIVER-GOMEZ ST,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,MAGSAYSAY BLVD,EAST UMBRIA-WEST RUEDA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,MAGSAYSAY BLVD,FR. ASIS TO RAMA ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,NAVARRO,CALBAYOG RIVER-GOMEZ ST,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,NAVARRO,UMBRIA - WESTSIDE RUEDA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,NAVARRO,FR. ASIS TO RAMA ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,NIJAGA,CALBAYOG RIVER-GOMEZ ST,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,NIJAGA,UMBRIA - WESTSIDE RUEDA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,NIJAGA,FR. ASIS TO RAMA ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,NIJAGA,RAMA ST - PIDO ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,GELERA ST,CALBAYOG RIVER-GOMEZ ST,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,GELERA ST,-  RECLAMATION AREA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,GELERA ST,N COR. OF CITY ENGR OFFICE,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,GELERA ST,J. AVELINO & UMBRIA STS,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,J. AVELINO ST,UMBRIA - PAJARITO STS,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,J. AVELINO ST,UMBRIA - WESTSIDE RUEDA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,J. AVELINO ST,FR. ASIS TO RAMA ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,J. AVELINO ST,RAMA ST - PIDO ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,STREET/SUBDIVISION,V I C I N I T Y,FICATION,ZV/SQ.M.
,CALBAYOG CITY,CALBAYOG PROPER,ROSALES BLVD,UMBRIA - WESTSIDE RUEDA,CR,*
,CALBAYOG CITY,CALBAYOG PROPER,ROSALES BLVD,FR. ASIS TO RAMA ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,ROSALES BLVD,RAMA ST - PIDO ST,RR,*
,CALBAYOG CITY,CALBAYOG PROPER,BUGALLON ST,UMBRIA - PAJARITO STS,CR,*
