Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
SOUTHERN LEYTE,MAASIN,ABGAO,DEMETRIO,T. OPPUS - WHARF,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,DEMETRIO,T. OPPUS - KANGLEON,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,GONZALES,TUBURAN CREEK  TO PROVINCIAL HOSPITAL,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,GONZALES,TUBURAN CREEK  TO PROVINCIAL HOSPITAL,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,GONZALES,TUBURAN CREEK  TO PROVINCIAL HOSPITAL,A4,*
SOUTHERN LEYTE,MAASIN,ABGAO,GONZALES,TUBURAN CREEK  TO PROVINCIAL HOSPITAL,A49,*
SOUTHERN LEYTE,MAASIN,ABGAO,GONZALES,TUBURAN CREEK  TO PROVINCIAL HOSPITAL,A50,*
SOUTHERN LEYTE,MAASIN,ABGAO,HOSPITAL,,X,18000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,TUBURAN CREEK - PANAL ST.,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,TUBURAN CREEK - PANAL ST.,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,PANAL ST. - ALCANTARA,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,PANAL ST. - ALCANTARA,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,INTERIOR **,RR,15000.0
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,INTERIOR **,A4,*
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,INTERIOR **,A49,*
SOUTHERN LEYTE,MAASIN,ABGAO,KANGLEON,INTERIOR **,A50,*
SOUTHERN LEYTE,MAASIN,ABGAO,PLARIDEL,KANGLEON - GONZALES,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,PLARIDEL,KANGLEON - GONZALES,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,PLARIDEL,KANGLEON - T. OPPUS,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,PLARIDEL,KANGLEON - T. OPPUS,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,SAN VICENTE,KANGLEON - T. OPPUS,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,SAN VICENTE,KANGLEON - T. OPPUS,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,SAN VICENTE,KANGLEON - GONZALES,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,SAN VICENTE,KANGLEON - GONZALES,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,TOMAS OPPUS,TUBURAN CREEK - ALCANTARA,RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,TOMAS OPPUS,TUBUBURAN CREEK - PANAL,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,TOMAS OPPUS,PANAL (CALDERON) - ALCANTARA,CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,TOMAS OPPUS,DEMETRIO - PANAL (CALDERON),CR,20000.0
SOUTHERN LEYTE,MAASIN,ABGAO,TOMAS OPPUS,DEMETRIO - PANAL (CALDERON),RR,16000.0
SOUTHERN LEYTE,MAASIN,ABGAO,ALL OTHER LOTS,,A4,120.0
SOUTHERN LEYTE,MAASIN,ABGAO,ALL OTHER LOTS,None,A49,100.0
SOUTHERN LEYTE,MAASIN,ABGAO,ALL OTHER LOTS,None,A50,90.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL LOTS,ALONG PROVINCIAL ROAD,CR,3000.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL LOTS,ALONG PROVINCIAL ROAD,RR,2000.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL LOTS,ALONG BARANGAY ROAD,RR,1800.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,RR,1600.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A1,100.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A2,95.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A3,65.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A4,85.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A8,*
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A11,85.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A23,70.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A49,50.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,**,A50,45.0
SOUTHERN LEYTE,MAASIN,ACASIA (ACACIA),ALL OTHER LOTS*,INTERIOR,A4,70.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL LOTS,ALONG NATIONAL ROAD,CR,15000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL LOTS,ALONG NATIONAL ROAD,RR,10000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL LOTS,BARANGAY ROAD TO ASSUMPTION HILLS,RR,10000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL LOTS,ROSARIO VILLAGE,RR,10000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL LOTS,PROVINCIAL CAPITOL,RR,10000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL OTHER LOTS,**,RR,9000.0
SOUTHERN LEYTE,MAASIN,ASUNCION,ALL OTHER LOTS,**,A3,70.0
